Date,Capture_Method,Location,County,Counter,Bear_ID,Body_Region,Ixodes_scapularis,Dermacenter_variabilis,Other_Adult,Non-Adults
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,23095,B,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,23095,C,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,23095,D,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,23095,E,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,23095,F,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,23095,G,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,23095,H,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,23095,I,1,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,23095,J,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,23095,K,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,23095,L,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,23095,M,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,23095,N,0,0,0,1
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,23095,O,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,23095,P,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,41479,A,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,41479,B,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,41479,C,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,41479,D,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,41479,E,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,41479,F,1,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,41479,G,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,41479,H,0,1,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,41479,I,1,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,41479,J,0,0,0,6
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,41479,K,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,41479,L,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,41479,M,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,41479,N,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,41479,O,0,0,0,0
6/28/2018,Trap,Brown Township,Lycoming,Hannah Greenberg,41479,P,0,0,0,0
7/3/2018,Trap,Emporium,Cameron,Dillon Gruver,51330,A,0,0,0,0
7/3/2018,Trap,Emporium,Cameron,Dillon Gruver,51330,B,0,0,0,0
7/3/2018,Trap,Emporium,Cameron,Dillon Gruver,51330,C,0,0,0,0
7/3/2018,Trap,Emporium,Cameron,Dillon Gruver,51330,D,0,0,0,0
7/3/2018,Trap,Emporium,Cameron,Dillon Gruver,51330,E,0,0,0,0
7/3/2018,Trap,Emporium,Cameron,Dillon Gruver,51330,F,0,0,0,0
7/3/2018,Trap,Emporium,Cameron,Dillon Gruver,51330,G,0,0,0,0
7/3/2018,Trap,Emporium,Cameron,Dillon Gruver,51330,H,0,0,0,0
7/3/2018,Trap,Emporium,Cameron,Dillon Gruver,51330,I,0,0,0,0
7/3/2018,Trap,Emporium,Cameron,Dillon Gruver,51330,J,0,0,0,0
7/3/2018,Trap,Emporium,Cameron,Dillon Gruver,51330,K,0,0,0,0
7/3/2018,Trap,Emporium,Cameron,Dillon Gruver,51330,L,0,0,0,0
7/3/2018,Trap,Emporium,Cameron,Dillon Gruver,51330,M,0,0,0,0
7/3/2018,Trap,Emporium,Cameron,Dillon Gruver,51330,N,0,0,0,0
7/3/2018,Trap,Emporium,Cameron,Dillon Gruver,51330,O,0,0,0,0
7/3/2018,Trap,Emporium,Cameron,Dillon Gruver,51330,P,0,0,0,0
7/18/2018,Trap,Lawrence,Clearfield,Jessica Brown,52038,A,0,0,0,0
7/18/2018,Trap,Lawrence,Clearfield,Jessica Brown,52038,B,0,0,0,0
7/18/2018,Trap,Lawrence,Clearfield,Jessica Brown,52038,C,0,0,0,0
7/18/2018,Trap,Lawrence,Clearfield,Jessica Brown,52038,D,0,0,0,0
7/18/2018,Trap,Lawrence,Clearfield,Jessica Brown,52038,E,0,0,0,0
7/18/2018,Trap,Lawrence,Clearfield,Jessica Brown,52038,F,0,0,0,0
7/18/2018,Trap,Lawrence,Clearfield,Jessica Brown,52038,G,0,0,0,0
7/18/2018,Trap,Lawrence,Clearfield,Jessica Brown,52038,H,0,0,0,0
7/18/2018,Trap,Lawrence,Clearfield,Jessica Brown,52038,I,0,0,0,0
7/18/2018,Trap,Lawrence,Clearfield,Jessica Brown,52038,J,0,0,0,0
7/18/2018,Trap,Lawrence,Clearfield,Jessica Brown,52038,K,0,0,0,0
7/18/2018,Trap,Lawrence,Clearfield,Jessica Brown,52038,L,0,0,0,0
7/18/2018,Trap,Lawrence,Clearfield,Jessica Brown,52038,M,0,0,0,0
7/18/2018,Trap,Lawrence,Clearfield,Jessica Brown,52038,N,0,0,0,0
7/18/2018,Trap,Lawrence,Clearfield,Jessica Brown,52038,O,0,0,0,0
7/18/2018,Trap,Lawrence,Clearfield,Jessica Brown,52038,P,0,0,0,0
7/18/2018,Trap,Sproul State Forest,Clinton,Jessica Brown,36361,A,0,0,0,0
7/18/2018,Trap,Sproul State Forest,Clinton,Jessica Brown,36361,B,0,0,0,0
7/18/2018,Trap,Sproul State Forest,Clinton,Jessica Brown,36361,C,0,0,0,0
7/18/2018,Trap,Sproul State Forest,Clinton,Jessica Brown,36361,D,0,0,0,0
7/18/2018,Trap,Sproul State Forest,Clinton,Jessica Brown,36361,E,0,0,0,0
7/18/2018,Trap,Sproul State Forest,Clinton,Jessica Brown,36361,F,0,0,0,0
7/18/2018,Trap,Sproul State Forest,Clinton,Jessica Brown,36361,G,0,0,0,0
7/18/2018,Trap,Sproul State Forest,Clinton,Jessica Brown,36361,H,0,0,0,0
7/18/2018,Trap,Sproul State Forest,Clinton,Jessica Brown,36361,I,0,0,0,0
7/18/2018,Trap,Sproul State Forest,Clinton,Jessica Brown,36361,J,9,0,0,0
7/18/2018,Trap,Sproul State Forest,Clinton,Jessica Brown,36361,K,0,0,0,0
7/18/2018,Trap,Sproul State Forest,Clinton,Jessica Brown,36361,L,0,0,0,0
7/18/2018,Trap,Sproul State Forest,Clinton,Jessica Brown,36361,M,0,0,0,0
7/18/2018,Trap,Sproul State Forest,Clinton,Jessica Brown,36361,N,1,0,0,1
7/18/2018,Trap,Sproul State Forest,Clinton,Jessica Brown,36361,O,0,0,0,3
7/18/2018,Trap,Sproul State Forest,Clinton,Jessica Brown,36361,P,0,0,0,0
